task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,sonnet_s21,claude,full,run1,mediastore,50,,,,model-doc/aalinker/sonnet_s21/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run1,teastore,712,,,,model-doc/aalinker/sonnet_s21/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run1,teammates,6349,,,,model-doc/aalinker/sonnet_s21/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run1,bigbluebutton,1378,,,,model-doc/aalinker/sonnet_s21/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run1,jabref,8290,,,,model-doc/aalinker/sonnet_s21/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run2,mediastore,47,,,,model-doc/aalinker/sonnet_s21/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run2,teastore,688,,,,model-doc/aalinker/sonnet_s21/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run2,teammates,6278,,,,model-doc/aalinker/sonnet_s21/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run2,bigbluebutton,1386,,,,model-doc/aalinker/sonnet_s21/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run2,jabref,8290,,,,model-doc/aalinker/sonnet_s21/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run3,mediastore,48,,,,model-doc/aalinker/sonnet_s21/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run3,teastore,713,,,,model-doc/aalinker/sonnet_s21/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run3,teammates,6096,,,,model-doc/aalinker/sonnet_s21/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run3,bigbluebutton,1072,,,,model-doc/aalinker/sonnet_s21/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,sonnet_s21,claude,full,run3,jabref,8272,,,,model-doc/aalinker/sonnet_s21/run3/jabref.csv o model-code/arcotl/jabref.csv,
